asset_path	source	extraction_method	fidelity_level	notes
derived_data/processed_expression/pathway_expression_long.tsv	archived notebook support universe + release-safe panel reconstruction	curated public Route A pretreatment support matrix for the archived 9-gene LDN193189 and 9-gene cetuximab panel universe	curated_panel_support	Not claimed as a full exact upstream pretreatment export; used only for the public Route A schematic clustering-family rebuild.
derived_data/processed_expression/pathway_logfc_long.tsv	machine_learning_add_ROC.ipynb cells 4 and 6	averaged exact notebook table rows across triplicates	exact_subset	RNA-derived fold-change support panels used for public Route A clustering regeneration.
derived_data/processed_expression/deg_shared.tsv	final manuscript figure table text	manual exact reconstruction from publication-support values	exact_panel	Full 36-gene shared LDN193189 DEG panel with mean logFC values.
derived_data/validation/qpcr_long.tsv	machine_learning.ipynb cells 22 and 25; machine_learning_add_ROC.ipynb cells 22 and 25	exact notebook table extraction and wide-to-long normalization	exact_panel	Includes 8 h resistant-only follow-up and 48 h sensitive/resistant follow-up for LDN193189 and cetuximab.
derived_data/validation/score_summary.tsv	released coefficient tables + exact qPCR_long.tsv	recomputed mean per-patient probabilities from released logistic coefficients	exact_recomputed	Secondary proof-of-principle score summary for the 48 h qPCR follow-up panels.
derived_data/networks/common_network_edges.tsv	less_data.ipynb cells 24 and 29	exact archived notebook edge-set extraction	exact_panel	LDN193189 and cetuximab common sensitivity edge sets.
derived_data/networks/resistant_missing_edges.tsv	less_data.ipynb cells 27 and 32	exact archived notebook edge-set extraction	exact_panel	Edges present in the sensitive common network but absent from the resistant-common comparison set.
derived_data/networks/patient_network_edges.tsv	less_data.ipynb cells 24 and 26	curated per-patient public Route A subset derived from exact shared edge sets	curated_panel_support	Public Route A patient-network subset ordered to regenerate schematic LDN193189 patient-network panels.
derived_data/networks/patient_network_nodes.tsv	machine_learning_add_ROC.ipynb cells 4 and 6; Heatmap_logFC.ipynb cells 2 and 4; manuscript figure text	exact sample-level values where available, manuscript-panel means as fallback	curated_panel_support	Node-color support table for public Route A schematic network regeneration.
derived_data/genomics/pathway_mutations.tsv	final manuscript text + pathway panel support constraints	curated pathway-level summary aligned to the described examples	curated_summary	Minimal mutation summary used to regenerate the public comparator matrix; not a full released MAF export.
derived_data/genomics/pathway_cna.tsv	final manuscript text	curated pathway-level summary aligned to described CNA examples	curated_summary	Minimal CNA summary used for public Route A auxiliary output; not a full cohort CNA table.
